Time,Position
0,-1
0.001,-0.999950017
0.002,-0.99980014
0.003,-0.999550484
0.004,-0.999201173
0.005,-0.998752342
0.006,-0.998204134
0.007,-0.997556704
0.008,-0.996810217
0.009,-0.995964846
0.01,-0.995020774
0.011,-0.993978194
0.012,-0.992837308
0.013,-0.99159833
0.014,-0.99026148
0.015,-0.988826991
0.016,-0.987295104
0.017,-0.985666068
0.018,-0.983940143
0.019,-0.982117599
0.02,-0.980198715
0.021,-0.978183779
0.022,-0.976073089
0.023,-0.973866951
0.024,-0.97156568
0.025,-0.969169603
0.026,-0.966679053
0.027,-0.964094373
0.028,-0.961415916
0.029,-0.958644043
0.03,-0.955779126
0.031,-0.952821542
0.032,-0.949771681
0.033,-0.946629939
0.034,-0.943396722
0.035,-0.940072445
0.036,-0.936657532
0.037,-0.933152413
0.038,-0.92955753
0.039,-0.925873332
0.04,-0.922100275
0.041,-0.918238827
0.042,-0.914289461
0.043,-0.91025266
0.044,-0.906128914
0.045,-0.901918724
0.046,-0.897622595
0.047,-0.893241044
0.048,-0.888774593
0.049,-0.884223775
0.05,-0.879589127
0.051,-0.874871198
0.052,-0.870070541
0.053,-0.86518772
0.054,-0.860223303
0.055,-0.85517787
0.056,-0.850052005
0.057,-0.844846302
0.058,-0.839561359
0.059,-0.834197786
0.06,-0.828756197
0.061,-0.823237214
0.062,-0.817641465
0.063,-0.811969587
0.064,-0.806222223
0.065,-0.800400022
0.066,-0.794503641
0.067,-0.788533744
0.068,-0.782491
0.069,-0.776376087
0.07,-0.770189688
0.071,-0.763932491
0.072,-0.757605194
0.073,-0.751208498
0.074,-0.744743114
0.075,-0.738209755
0.076,-0.731609144
0.077,-0.724942006
0.078,-0.718209074
0.079,-0.711411088
0.08,-0.704548792
0.081,-0.697622934
0.082,-0.690634273
0.083,-0.683583567
0.084,-0.676471586
0.085,-0.6692991
0.086,-0.662066887
0.087,-0.65477573
0.088,-0.647426416
0.089,-0.640019738
0.09,-0.632556493
0.091,-0.625037485
0.092,-0.617463519
0.093,-0.609835409
0.094,-0.60215397
0.095,-0.594420025
0.096,-0.586634397
0.097,-0.578797918
0.098,-0.570911421
0.099,-0.562975744
0.1,-0.55499173
0.101,-0.546960225
0.102,-0.53888208
0.103,-0.530758147
0.104,-0.522589286
0.105,-0.514376357
0.106,-0.506120225
0.107,-0.497821759
0.108,-0.489481831
0.109,-0.481101315
0.11,-0.47268109
0.111,-0.464222037
0.112,-0.45572504
0.113,-0.447190986
0.114,-0.438620765
0.115,-0.430015271
0.116,-0.421375398
0.117,-0.412702045
0.118,-0.403996111
0.119,-0.3952585
0.12,-0.386490117
0.121,-0.377691868
0.122,-0.368864663
0.123,-0.360009413
0.124,-0.351127031
0.125,-0.342218433
0.126,-0.333284533
0.127,-0.324326252
0.128,-0.315344509
0.129,-0.306340224
0.13,-0.297314321
0.131,-0.288267723
0.132,-0.279201355
0.133,-0.270116143
0.134,-0.261013013
0.135,-0.251892894
0.136,-0.242756714
0.137,-0.233605402
0.138,-0.224439889
0.139,-0.215261104
0.14,-0.206069977
0.141,-0.196867441
0.142,-0.187654426
0.143,-0.178431864
0.144,-0.169200685
0.145,-0.159961822
0.146,-0.150716204
0.147,-0.141464764
0.148,-0.132208431
0.149,-0.122948136
0.15,-0.113684808
0.151,-0.104419375
0.152,-0.095152768
0.153,-0.085885911
0.154,-0.076619733
0.155,-0.067355158
0.156,-0.058093111
0.157,-0.048834515
0.158,-0.039580291
0.159,-0.030331362
0.16,-0.021088645
0.161,-0.011853059
0.162,-0.002625519
0.163,0.006593061
0.164,0.015801768
0.165,0.024999691
0.166,0.034185922
0.167,0.043359555
0.168,0.052519685
0.169,0.06166541
0.17,0.070795831
0.171,0.07991005
0.172,0.089007172
0.173,0.098086305
0.174,0.10714656
0.175,0.11618705
0.176,0.125206891
0.177,0.134205203
0.178,0.143181107
0.179,0.152133729
0.18,0.161062198
0.181,0.169965644
0.182,0.178843203
0.183,0.187694014
0.184,0.196517218
0.185,0.205311962
0.186,0.214077395
0.187,0.22281267
0.188,0.231516944
0.189,0.240189379
0.19,0.248829139
0.191,0.257435393
0.192,0.266007314
0.193,0.274544081
0.194,0.283044874
0.195,0.291508881
0.196,0.299935292
0.197,0.308323303
0.198,0.316672113
0.199,0.324980927
0.2,0.333248955
0.201,0.341475412
0.202,0.349659516
0.203,0.357800491
0.204,0.365897568
0.205,0.37394998
0.206,0.381956968
0.207,0.389917777
0.208,0.397831656
0.209,0.405697863
0.21,0.413515659
0.211,0.42128431
0.212,0.429003089
0.213,0.436671275
0.214,0.444288152
0.215,0.45185301
0.216,0.459365145
0.217,0.466823858
0.218,0.474228457
0.219,0.481578257
0.22,0.488872578
0.221,0.496110745
0.222,0.503292092
0.223,0.510415958
0.224,0.517481688
0.225,0.524488633
0.226,0.531436153
0.227,0.538323612
0.228,0.545150381
0.229,0.551915841
0.23,0.558619374
0.231,0.565260374
0.232,0.571838239
0.233,0.578352375
0.234,0.584802194
0.235,0.591187116
0.236,0.597506568
0.237,0.603759983
0.238,0.609946803
0.239,0.616066474
0.24,0.622118454
0.241,0.628102205
0.242,0.634017196
0.243,0.639862906
0.244,0.64563882
0.245,0.651344429
0.246,0.656979234
0.247,0.662542743
0.248,0.668034471
0.249,0.67345394
0.25,0.678800681
0.251,0.684074232
0.252,0.68927414
0.253,0.694399958
0.254,0.699451248
0.255,0.70442758
0.256,0.709328531
0.257,0.714153686
0.258,0.71890264
0.259,0.723574993
0.26,0.728170356
0.261,0.732688345
0.262,0.737128588
0.263,0.741490716
0.264,0.745774374
0.265,0.74997921
0.266,0.754104884
0.267,0.758151062
0.268,0.76211742
0.269,0.76600364
0.27,0.769809414
0.271,0.773534442
0.272,0.777178434
0.273,0.780741104
0.274,0.78422218
0.275,0.787621394
0.276,0.790938488
0.277,0.794173213
0.278,0.797325328
0.279,0.8003946
0.28,0.803380806
0.281,0.80628373
0.282,0.809103165
0.283,0.811838913
0.284,0.814490783
0.285,0.817058596
0.286,0.819542177
0.287,0.821941364
0.288,0.824256001
0.289,0.82648594
0.29,0.828631044
0.291,0.830691182
0.292,0.832666235
0.293,0.83455609
0.294,0.836360642
0.295,0.838079797
0.296,0.839713468
0.297,0.841261578
0.298,0.842724057
0.299,0.844100845
0.3,0.845391889
0.301,0.846597147
0.302,0.847716584
0.303,0.848750173
0.304,0.849697897
0.305,0.850559747
0.306,0.851335723
0.307,0.852025833
0.308,0.852630094
0.309,0.853148531
0.31,0.853581179
0.311,0.853928079
0.312,0.854189284
0.313,0.854364851
0.314,0.854454851
0.315,0.854459358
0.316,0.854378458
0.317,0.854212245
0.318,0.85396082
0.319,0.853624293
0.32,0.853202784
0.321,0.852696419
0.322,0.852105334
0.323,0.851429673
0.324,0.850669587
0.325,0.849825237
0.326,0.848896792
0.327,0.847884428
0.328,0.846788331
0.329,0.845608693
0.33,0.844345717
0.331,0.842999611
0.332,0.841570594
0.333,0.84005889
0.334,0.838464735
0.335,0.836788368
0.336,0.835030042
0.337,0.833190011
0.338,0.831268544
0.339,0.829265912
0.34,0.827182398
0.341,0.825018289
0.342,0.822773884
0.343,0.820449487
0.344,0.818045409
0.345,0.815561972
0.346,0.812999501
0.347,0.810358334
0.348,0.807638811
0.349,0.804841284
0.35,0.80196611
0.351,0.799013654
0.352,0.795984288
0.353,0.792878392
0.354,0.789696352
0.355,0.786438564
0.356,0.783105428
0.357,0.779697352
0.358,0.776214753
0.359,0.772658052
0.36,0.76902768
0.361,0.765324073
0.362,0.761547673
0.363,0.757698933
0.364,0.753778307
0.365,0.749786261
0.366,0.745723265
0.367,0.741589795
0.368,0.737386335
0.369,0.733113376
0.37,0.728771413
0.371,0.72436095
0.372,0.719882496
0.373,0.715336567
0.374,0.710723684
0.375,0.706044375
0.376,0.701299175
0.377,0.696488623
0.378,0.691613266
0.379,0.686673656
0.38,0.68167035
0.381,0.676603913
0.382,0.671474914
0.383,0.666283928
0.384,0.661031535
0.385,0.655718323
0.386,0.650344883
0.387,0.644911812
0.388,0.639419713
0.389,0.633869193
0.39,0.628260867
0.391,0.622595353
0.392,0.616873273
0.393,0.611095256
0.394,0.605261936
0.395,0.599373951
0.396,0.593431944
0.397,0.587436563
0.398,0.581388461
0.399,0.575288294
0.4,0.569136725
0.401,0.56293442
0.402,0.556682049
0.403,0.550380287
0.404,0.544029814
0.405,0.537631313
0.406,0.531185471
0.407,0.52469298
0.408,0.518154536
0.409,0.511570838
0.41,0.50494259
0.411,0.498270498
0.412,0.491555272
0.413,0.484797628
0.414,0.477998284
0.415,0.471157959
0.416,0.46427738
0.417,0.457357274
0.418,0.450398371
0.419,0.443401408
0.42,0.43636712
0.421,0.429296249
0.422,0.422189536
0.423,0.41504773
0.424,0.407871578
0.425,0.400661832
0.426,0.393419247
0.427,0.386144578
0.428,0.378838586
0.429,0.371502032
0.43,0.364135679
0.431,0.356740294
0.432,0.349316644
0.433,0.341865501
0.434,0.334387635
0.435,0.326883822
0.436,0.319354838
0.437,0.311801459
0.438,0.304224466
0.439,0.296624639
0.44,0.28900276
0.441,0.281359614
0.442,0.273695986
0.443,0.266012662
0.444,0.258310429
0.445,0.250590077
0.446,0.242852396
0.447,0.235098175
0.448,0.227328206
0.449,0.219543283
0.45,0.211744197
0.451,0.203931743
0.452,0.196106714
0.453,0.188269906
0.454,0.180422114
0.455,0.172564132
0.456,0.164696757
0.457,0.156820783
0.458,0.148937008
0.459,0.141046226
0.46,0.133149234
0.461,0.125246827
0.462,0.1173398
0.463,0.109428948
0.464,0.101515065
0.465,0.093598946
0.466,0.085681384
0.467,0.077763172
0.468,0.069845102
0.469,0.061927965
0.47,0.054012551
0.471,0.046099651
0.472,0.038190051
0.473,0.030284541
0.474,0.022383905
0.475,0.014488928
0.476,0.006600394
0.477,-0.001280915
0.478,-0.009154218
0.479,-0.017018737
0.48,-0.024873695
0.481,-0.032718315
0.482,-0.040551825
0.483,-0.048373452
0.484,-0.056182426
0.485,-0.063977979
0.486,-0.071759347
0.487,-0.079525764
0.488,-0.087276471
0.489,-0.095010707
0.49,-0.102727716
0.491,-0.110426745
0.492,-0.118107042
0.493,-0.125767858
0.494,-0.133408446
0.495,-0.141028064
0.496,-0.14862597
0.497,-0.156201427
0.498,-0.1637537
0.499,-0.171282058
0.5,-0.178785771
0.501,-0.186264114
0.502,-0.193716367
0.503,-0.201141808
0.504,-0.208539725
0.505,-0.215909403
0.506,-0.223250136
0.507,-0.230561219
0.508,-0.237841949
0.509,-0.24509163
0.51,-0.252309568
0.511,-0.259495074
0.512,-0.266647462
0.513,-0.273766049
0.514,-0.280850159
0.515,-0.287899117
0.516,-0.294912255
0.517,-0.301888906
0.518,-0.308828412
0.519,-0.315730114
0.52,-0.322593361
0.521,-0.329417505
0.522,-0.336201904
0.523,-0.342945918
0.524,-0.349648914
0.525,-0.356310264
0.526,-0.362929342
0.527,-0.369505531
0.528,-0.376038214
0.529,-0.382526784
0.53,-0.388970635
0.531,-0.395369169
0.532,-0.40172179
0.533,-0.40802791
0.534,-0.414286945
0.535,-0.420498316
0.536,-0.42666145
0.537,-0.43277578
0.538,-0.438840743
0.539,-0.444855783
0.54,-0.450820347
0.541,-0.456733891
0.542,-0.462595874
0.543,-0.468405762
0.544,-0.474163026
0.545,-0.479867144
0.546,-0.485517598
0.547,-0.491113877
0.548,-0.496655476
0.549,-0.502141896
0.55,-0.507572644
0.551,-0.512947232
0.552,-0.51826518
0.553,-0.523526012
0.554,-0.52872926
0.555,-0.533874462
0.556,-0.53896116
0.557,-0.543988906
0.558,-0.548957255
0.559,-0.553865771
0.56,-0.558714022
0.561,-0.563501584
0.562,-0.568228039
0.563,-0.572892976
0.564,-0.577495991
0.565,-0.582036685
0.566,-0.586514666
0.567,-0.59092955
0.568,-0.595280958
0.569,-0.599568519
0.57,-0.603791869
0.571,-0.607950648
0.572,-0.612044507
0.573,-0.6160731
0.574,-0.620036091
0.575,-0.623933149
0.576,-0.62776395
0.577,-0.631528178
0.578,-0.635225523
0.579,-0.638855682
0.58,-0.642418359
0.581,-0.645913267
0.582,-0.649340123
0.583,-0.652698652
0.584,-0.655988588
0.585,-0.659209671
0.586,-0.662361646
0.587,-0.665444268
0.588,-0.668457299
0.589,-0.671400506
0.59,-0.674273666
0.591,-0.677076561
0.592,-0.679808982
0.593,-0.682470724
0.594,-0.685061595
0.595,-0.687581404
0.596,-0.690029971
0.597,-0.692407123
0.598,-0.694712694
0.599,-0.696946524
0.6,-0.699108462
0.601,-0.701198364
0.602,-0.703216094
0.603,-0.70516152
0.604,-0.707034522
0.605,-0.708834984
0.606,-0.710562799
0.607,-0.712217868
0.608,-0.713800096
0.609,-0.715309399
0.61,-0.716745699
0.611,-0.718108925
0.612,-0.719399015
0.613,-0.720615911
0.614,-0.721759566
0.615,-0.722829939
0.616,-0.723826996
0.617,-0.72475071
0.618,-0.725601063
0.619,-0.726378042
0.62,-0.727081645
0.621,-0.727711872
0.622,-0.728268736
0.623,-0.728752253
0.624,-0.729162449
0.625,-0.729499355
0.626,-0.729763012
0.627,-0.729953466
0.628,-0.730070771
0.629,-0.73011499
0.63,-0.730086189
0.631,-0.729984446
0.632,-0.729809844
0.633,-0.729562472
0.634,-0.729242428
0.635,-0.728849817
0.636,-0.72838475
0.637,-0.727847346
0.638,-0.727237732
0.639,-0.72655604
0.64,-0.725802411
0.641,-0.724976992
0.642,-0.724079937
0.643,-0.723111408
0.644,-0.722071572
0.645,-0.720960605
0.646,-0.719778689
0.647,-0.718526013
0.648,-0.717202773
0.649,-0.715809172
0.65,-0.714345419
0.651,-0.712811731
0.652,-0.711208331
0.653,-0.709535448
0.654,-0.707793321
0.655,-0.705982191
0.656,-0.704102309
0.657,-0.702153931
0.658,-0.700137322
0.659,-0.698052749
0.66,-0.695900491
0.661,-0.693680829
0.662,-0.691394052
0.663,-0.689040457
0.664,-0.686620346
0.665,-0.684134026
0.666,-0.681581812
0.667,-0.678964026
0.668,-0.676280995
0.669,-0.673533052
0.67,-0.670720536
0.671,-0.667843793
0.672,-0.664903175
0.673,-0.661899039
0.674,-0.65883175
0.675,-0.655701677
0.676,-0.652509196
0.677,-0.649254688
0.678,-0.64593854
0.679,-0.642561146
0.68,-0.639122904
0.681,-0.635624218
0.682,-0.6320655
0.683,-0.628447164
0.684,-0.624769632
0.685,-0.62103333
0.686,-0.617238691
0.687,-0.613386152
0.688,-0.609476156
0.689,-0.605509152
0.69,-0.601485592
0.691,-0.597405936
0.692,-0.593270648
0.693,-0.589080196
0.694,-0.584835054
0.695,-0.580535701
0.696,-0.576182621
0.697,-0.571776304
0.698,-0.567317242
0.699,-0.562805933
0.7,-0.558242882
0.701,-0.553628596
0.702,-0.548963587
0.703,-0.544248372
0.704,-0.539483473
0.705,-0.534669416
0.706,-0.52980673
0.707,-0.524895951
0.708,-0.519937617
0.709,-0.514932272
0.71,-0.509880462
0.711,-0.50478274
0.712,-0.49963966
0.713,-0.494451783
0.714,-0.48921967
0.715,-0.48394389
0.716,-0.478625013
0.717,-0.473263614
0.718,-0.467860272
0.719,-0.462415568
0.72,-0.456930088
0.721,-0.451404421
0.722,-0.445839159
0.723,-0.440234899
0.724,-0.434592239
0.725,-0.428911781
0.726,-0.423194132
0.727,-0.4174399
0.728,-0.411649696
0.729,-0.405824136
0.73,-0.399963836
0.731,-0.394069418
0.732,-0.388141504
0.733,-0.382180721
0.734,-0.376187697
0.735,-0.370163063
0.736,-0.364107454
0.737,-0.358021504
0.738,-0.351905854
0.739,-0.345761144
0.74,-0.339588017
0.741,-0.333387118
0.742,-0.327159095
0.743,-0.320904598
0.744,-0.314624278
0.745,-0.308318789
0.746,-0.301988786
0.747,-0.295634926
0.748,-0.289257869
0.749,-0.282858274
0.75,-0.276436804
0.751,-0.269994123
0.752,-0.263530896
0.753,-0.257047789
0.754,-0.25054547
0.755,-0.244024608
0.756,-0.237485874
0.757,-0.230929939
0.758,-0.224357475
0.759,-0.217769156
0.76,-0.211165657
0.761,-0.204547651
0.762,-0.197915816
0.763,-0.191270828
0.764,-0.184613364
0.765,-0.177944103
0.766,-0.171263722
0.767,-0.1645729
0.768,-0.157872317
0.769,-0.151162652
0.77,-0.144444584
0.771,-0.137718795
0.772,-0.130985963
0.773,-0.124246768
0.774,-0.117501891
0.775,-0.110752011
0.776,-0.103997808
0.777,-0.097239961
0.778,-0.09047915
0.779,-0.083716053
0.78,-0.076951348
0.781,-0.070185713
0.782,-0.063419826
0.783,-0.056654362
0.784,-0.049889998
0.785,-0.043127409
0.786,-0.036367267
0.787,-0.029610248
0.788,-0.022857023
0.789,-0.016108264
0.79,-0.009364639
0.791,-0.002626819
0.792,0.004104529
0.793,0.010828738
0.794,0.017545145
0.795,0.024253085
0.796,0.030951897
0.797,0.037640919
0.798,0.044319493
0.799,0.050986963
0.8,0.057642672
0.801,0.064285968
0.802,0.070916198
0.803,0.077532713
0.804,0.084134866
0.805,0.090722011
0.806,0.097293504
0.807,0.103848705
0.808,0.110386974
0.809,0.116907675
0.81,0.123410174
0.811,0.129893838
0.812,0.13635804
0.813,0.142802152
0.814,0.149225549
0.815,0.155627612
0.816,0.162007721
0.817,0.168365261
0.818,0.174699618
0.819,0.181010183
0.82,0.187296349
0.821,0.193557511
0.822,0.19979307
0.823,0.206002427
0.824,0.212184988
0.825,0.218340162
0.826,0.224467361
0.827,0.230566
0.828,0.236635499
0.829,0.24267528
0.83,0.248684769
0.831,0.254663395
0.832,0.260610593
0.833,0.266525798
0.834,0.272408452
0.835,0.278258
0.836,0.284073889
0.837,0.289855573
0.838,0.295602506
0.839,0.301314151
0.84,0.30698997
0.841,0.312629433
0.842,0.318232012
0.843,0.323797184
0.844,0.32932443
0.845,0.334813237
0.846,0.340263093
0.847,0.345673492
0.848,0.351043935
0.849,0.356373923
0.85,0.361662965
0.851,0.366910573
0.852,0.372116263
0.853,0.377279557
0.854,0.382399982
0.855,0.387477068
0.856,0.392510351
0.857,0.397499373
0.858,0.402443678
0.859,0.407342818
0.86,0.412196347
0.861,0.417003827
0.862,0.421764823
0.863,0.426478905
0.864,0.431145649
0.865,0.435764636
0.866,0.440335452
0.867,0.444857688
0.868,0.449330941
0.869,0.453754812
0.87,0.45812891
0.871,0.462452846
0.872,0.466726238
0.873,0.47094871
0.874,0.475119891
0.875,0.479239416
0.876,0.483306923
0.877,0.487322059
0.878,0.491284474
0.879,0.495193825
0.88,0.499049775
0.881,0.50285199
0.882,0.506600146
0.883,0.510293921
0.884,0.513933001
0.885,0.517517077
0.886,0.521045844
0.887,0.524519007
0.888,0.527936273
0.889,0.531297357
0.89,0.534601979
0.891,0.537849865
0.892,0.541040746
0.893,0.544174362
0.894,0.547250456
0.895,0.550268778
0.896,0.553229085
0.897,0.556131138
0.898,0.558974705
0.899,0.561759561
0.9,0.564485486
0.901,0.567152267
0.902,0.569759697
0.903,0.572307573
0.904,0.574795701
0.905,0.577223891
0.906,0.579591962
0.907,0.581899735
0.908,0.584147042
0.909,0.586333718
0.91,0.588459604
0.911,0.59052455
0.912,0.592528409
0.913,0.594471042
0.914,0.596352318
0.915,0.598172108
0.916,0.599930292
0.917,0.601626756
0.918,0.603261393
0.919,0.604834101
0.92,0.606344783
0.921,0.607793353
0.922,0.609179726
0.923,0.610503826
0.924,0.611765583
0.925,0.612964934
0.926,0.614101821
0.927,0.615176192
0.928,0.616188004
0.929,0.617137216
0.93,0.618023797
0.931,0.618847721
0.932,0.619608969
0.933,0.620307526
0.934,0.620943386
0.935,0.621516547
0.936,0.622027015
0.937,0.622474803
0.938,0.622859926
0.939,0.623182411
0.94,0.623442286
0.941,0.62363959
0.942,0.623774364
0.943,0.623846657
0.944,0.623856525
0.945,0.623804029
0.946,0.623689238
0.947,0.623512223
0.948,0.623273066
0.949,0.622971852
0.95,0.622608674
0.951,0.62218363
0.952,0.621696824
0.953,0.621148366
0.954,0.620538373
0.955,0.619866968
0.956,0.619134278
0.957,0.618340439
0.958,0.617485591
0.959,0.61656988
0.96,0.615593458
0.961,0.614556484
0.962,0.613459123
0.963,0.612301543
0.964,0.611083922
0.965,0.60980644
0.966,0.608469285
0.967,0.607072651
0.968,0.605616736
0.969,0.604101746
0.97,0.60252789
0.971,0.600895385
0.972,0.599204453
0.973,0.597455321
0.974,0.595648222
0.975,0.593783395
0.976,0.591861084
0.977,0.589881537
0.978,0.587845012
0.979,0.585751767
0.98,0.583602069
0.981,0.581396188
0.982,0.579134403
0.983,0.576816994
0.984,0.57444425
0.985,0.572016461
0.986,0.569533927
0.987,0.566996949
0.988,0.564405836
0.989,0.561760901
0.99,0.559062462
0.991,0.556310843
0.992,0.55350637
0.993,0.550649379
0.994,0.547740206
0.995,0.544779194
0.996,0.541766692
0.997,0.538703052
0.998,0.535588631
